pathway,T1_D1_DP1,T2_D2_DP2,CA_DP2,T2_D0_DP1,T4_D1_DP2,T1_D1_DP3,T1_D3_DP2,T2_D3_DP2,CC_DP2,T2_D3_DP3,T2_D2_DP1,T1_D2_DP1,T4_D0_DP1,T4_D1_DP3,T3_D0_DP1,T2_D3_DP1,T1_D0_DP1,CC_DP1,T5_D3_DP3,CC_DP3,T2_D1_DP2,CB_DP3,T1_D2_DP2,CA_DP1,T4_D3_DP1,T5_D2_DP3,T3_D2_DP2,T5_D2_DP2,T5_D3_DP2,T3_D3_DP1,T4_D3_DP3,T2_D1_DP3,T4_D1_DP1,T1_D2_DP3,T4_D2_DP1,CA_DP3,T5_D2_DP1,T5_D1_DP3,CB_DP1,T3_D2_DP3,T5_D0_DP1,T3_D3_DP3,T3_D3_DP2,T3_D1_DP2,T1_D3_DP1,CB_DP2,T3_D2_DP1,T5_D1_DP1,T4_D3_DP2,T3_D1_DP3,T4_D2_DP3,T3_D1_DP1,T4_D2_DP2,T5_D3_DP1,T5_D1_DP2,T1_D3_DP3,T2_D1_DP1,T2_D2_DP3,T1_D1_DP2
POLYISOPRENSYN-PWY,11776.66321,84949.05895,55641.79587,107018.2208,90220.28625,3894.137401,55229.59815,91321.77992,85111.01806,80731.28503,52114.17295,1795.240465,99008.2929,106840.4277,86279.86367,79434.65166,29352.37129,148904.7136,131195.8803,109057.9083,119138.3988,103522.6891,18143.41897,150626.1701,94305.75436,112656.1567,129338.0472,92755.59872,82792.17912,77878.48136,110721.8549,132654.9791,90176.02709,25492.6682,83665.26115,133290.4148,78339.70452,79814.78768,84267.22774,133228.0386,147364.9325,113967.8161,142762.0281,93942.83686,149917.1063,67763.28043,34641.50265,94725.76986,136339.4761,132736.4855,93133.90098,117511.8765,108306.9126,83726.3642,99867.73435,138901.528,9768.995377,101633.5628,34006.37689
PPGPPMET-PWY,4435.120851,37090.06537,23628.05281,32976.92509,15777.85954,1364.142329,23674.7417,40185.94985,36173.95444,25957.86887,26878.10135,742.0996138,32124.64915,33872.22128,32324.46576,37096.14542,10367.44951,51084.01394,37898.88273,32810.16787,50589.88145,33907.96846,3394.450839,72241.67218,31400.17091,31768.63665,60539.49017,40696.03,41241.16789,23048.64589,34155.09538,39644.87481,34924.04616,5427.817577,27852.73545,41034.06806,27579.53693,21307.05402,36262.25178,44633.23282,48745.13179,44621.34352,77277.70341,37310.54397,63383.883,29536.93128,11508.24345,41643.87323,57111.50847,37571.46704,30544.34571,49671.25436,42305.20803,31770.50913,46576.7241,37363.38311,2210.458841,25394.27968,31559.43164
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,6828.220321,9018.354028,7226.469921,21216.64747,14605.32588,658.5145787,6195.638474,9144.600583,12392.24041,5313.033944,10410.23917,361.4995292,18099.09448,7324.052219,20302.49424,18790.26971,6366.228169,27252.78464,8769.099341,13022.23937,11373.14702,8721.156557,993.9827752,22800.73217,21815.40527,9005.22133,9705.579781,8997.866179,9755.730179,20238.03998,8413.367309,10674.42259,21200.25014,702.9051039,19862.14219,12075.14329,17835.36275,5535.757467,19142.29736,8856.715049,31485.02583,9484.618655,24119.25951,8474.949858,35037.18081,9800.319031,9681.330966,16043.87973,13420.35773,9636.521463,5796.610206,23213.3197,12211.29263,18623.08737,10334.08515,12598.97294,3580.93456,8993.351989,2136.21283
PRPP-PWY,6185.130941,15690.04581,11163.02677,20549.05968,25333.75637,3077.886671,9608.644579,17468.41993,16058.94482,47676.6973,5416.650867,1181.007822,13589.1884,32070.49744,13976.28183,7285.529616,6968.501853,28969.99028,55325.84478,34475.62844,26097.91083,28457.91712,2565.969542,17066.60597,18103.11099,47987.89936,23925.94046,16853.00372,13250.31698,15303.1391,31244.19644,62580.72936,16812.47303,21237.30988,16991.00727,43321.86149,14413.15552,35812.363,6387.154309,43104.77157,28315.87868,26943.02511,17539.55167,23121.1175,21907.67404,13419.81565,8703.225196,14610.12511,27975.08225,38358.22628,40688.63279,21387.42592,25526.51276,16535.85767,16573.12921,45080.17222,3859.563748,56292.352,37432.09418
PWY-1269,8928.108895,70728.95186,45894.37369,91373.44167,69470.61969,3348.440437,46104.17644,77017.25802,72560.84045,72086.97241,43459.36392,1338.498866,85682.38403,91128.42076,74757.32409,65344.47775,26149.60718,126117.2211,115790.622,94116.34295,101387.4829,89394.34697,16684.98876,112065.1821,80110.71648,100490.4979,108024.6255,80095.12197,70574.27912,65760.70948,95715.70444,115132.3104,75310.45094,22462.49944,71279.10235,115759.4682,67016.71083,70492.30242,68994.73042,113031.5742,125911.5546,94603.30388,119095.7594,79774.67026,122002.2809,56903.52706,28217.4967,80614.62164,115818.2672,112996.0315,78546.60154,98464.21308,90457.46404,72924.69642,84655.76137,116996.8522,6898.564895,85816.07788,32513.37073
PWY-1361,21.63606545,228.104904,168.0537058,1939.678734,233.795126,57.3856585,129.0648039,153.3848364,287.6760504,64.79924352,509.7600846,29.84246678,1148.780999,58.76987469,1117.497206,1020.795253,266.2423534,2032.365076,46.98595842,141.4494938,256.1057674,57.89640816,25.21137101,210.9094412,1467.752808,63.49952916,109.9721094,150.1072377,234.2137799,1794.019078,41.89890321,116.4695296,1470.267073,45.57587524,1227.446563,65.34358109,1045.211571,36.93964331,824.9640389,48.14907022,1734.605121,129.289322,647.0552645,132.1015389,2413.408843,247.9223267,943.164282,683.9495184,243.370003,98.67985363,46.01537213,1250.428246,230.7897585,2199.720889,213.4982936,70.13740724,601.2863198,29.97258484,51.65689358
PWY-1422,156.3156698,98.20147314,208.4911196,2557.573692,375.9144736,0,48.02143118,79.12107852,144.9467118,38.85561165,336.955104,0,1520.343192,24.91727534,2649.698992,364.7290634,82.7248773,5636.858017,33.27622657,105.7481275,147.1244788,61.91843765,164.9338007,2155.252932,1615.248215,116.5696143,239.9898631,461.7586747,204.243342,1456.642439,33.27283619,127.3531707,1504.922723,0,1337.512166,87.50825076,1637.191782,26.49433739,1976.048285,37.8005005,5138.119639,479.2863448,1332.903186,254.8659546,1214.512765,264.0128324,1137.396479,2251.393786,256.2043918,81.03575786,24.79849633,3182.51073,166.7838456,1542.263169,272.8468029,45.15075013,29.93289091,25.52960414,7.493145402
PWY-1501,69.74859713,77.40335151,27.26803196,461.751197,46.09058248,3.922927421,38.3058504,56.33637331,143.9801964,18.60246624,82.85156042,1.128716397,211.5725186,9.205227534,176.1603188,149.9777513,0,432.6298753,8.844032698,53.37786443,99.79136519,15.19818454,17.63931614,80.16802732,195.0181821,19.92870841,55.68758766,60.48076899,69.11264684,266.4356759,9.41423281,24.19560214,248.104981,25.40019927,175.9287215,22.35929129,191.4017596,0,158.7128132,14.14008755,343.9248102,45.0031482,265.3778917,44.38426723,334.1778132,73.97611319,146.6316304,164.2692499,63.93061684,26.93988282,6.837464127,208.9048657,85.66915781,244.4382849,78.85401944,24.1971821,7.726336591,7.398165138,0
PWY-1541,2077.006285,8003.036964,6145.479846,4200.174925,6336.303142,245.6504649,5328.779767,8453.674207,9395.834472,6182.270042,4366.538155,85.13897935,6123.266245,7689.846892,3497.624706,7634.596206,387.7639447,6285.99109,10959.55111,11164.01846,10766.00746,10981.20447,90.56182318,5881.10266,6776.686723,9854.950953,12360.61579,9984.419978,9974.425394,6236.650574,8229.004502,11460.88342,5075.187072,1526.677945,5225.728507,15559.37657,4704.524406,6877.645359,6699.259119,9527.310343,8834.094189,9258.751407,6884.681397,8314.022285,10065.59286,7997.770948,1630.829732,4236.133925,12852.90744,8458.594926,5783.326653,6420.676846,11770.12753,3866.957604,11285.14687,13797.37939,45.14576366,12095.44498,104.4495873
PWY-1622,3575.763465,9426.472034,7223.000905,6779.307511,10310.20487,98.20828261,6305.306739,9712.396471,10052.86962,3622.598402,6075.837539,362.0458246,7217.759647,7178.474565,5829.917863,11071.71515,4241.807703,8607.502569,7839.103899,8945.908143,12886.71962,10517.70858,1862.706472,11688.40809,7753.283788,5778.783597,12018.50958,10184.89521,9927.084587,9156.248091,8362.106399,6730.922919,7853.97469,916.7536862,8080.735721,12623.34253,5289.975752,4476.970318,9791.112221,8155.742906,11002.47133,11491.26238,8359.333926,10122.00922,18209.2522,8667.659063,5007.496986,5333.420997,14709.59325,8787.761564,5211.767455,8616.23501,14598.47009,7743.181293,11508.04425,10435.21175,2377.70735,5890.201794,452.3361763
