pathway,T1_D1_DP1,T2_D2_DP2,CA_DP2,T2_D0_DP1,T4_D1_DP2,T1_D1_DP3,T1_D3_DP2,T2_D3_DP2,CC_DP2,T2_D3_DP3,T2_D2_DP1,T1_D2_DP1,T4_D0_DP1,T4_D1_DP3,T3_D0_DP1,T2_D3_DP1,T1_D0_DP1,CC_DP1,T5_D3_DP3,CC_DP3,T2_D1_DP2,CB_DP3,T1_D2_DP2,CA_DP1,T4_D3_DP1,T5_D2_DP3,T3_D2_DP2,T5_D2_DP2,T5_D3_DP2,T3_D3_DP1,T4_D3_DP3,T2_D1_DP3,T4_D1_DP1,T1_D2_DP3,T4_D2_DP1,CA_DP3,T5_D2_DP1,T5_D1_DP3,CB_DP1,T3_D2_DP3,T5_D0_DP1,T3_D3_DP3,T3_D3_DP2,T3_D1_DP2,T1_D3_DP1,CB_DP2,T3_D2_DP1,T5_D1_DP1,T4_D3_DP2,T3_D1_DP3,T4_D2_DP3,T3_D1_DP1,T4_D2_DP2,T5_D3_DP1,T5_D1_DP2,T1_D3_DP3,T2_D1_DP1,T2_D2_DP3,T1_D1_DP2
1CMET2-PWY,10341.18817,64861.34665,43646.69277,100764.4029,67023.33993,3925.251075,42589.83525,70239.38895,68125.04372,72500.72147,45034.66277,1737.475184,95076.10701,90694.2739,82017.48509,70420.45384,27891.37457,138771.021,117302.8082,95519.82962,91925.51114,86579.90542,10591.64581,119135.6957,90891.56889,103450.1314,93250.82817,69897.59347,62405.04693,76597.82816,96440.8841,119587.0313,85039.01796,25725.54719,80628.8421,114646.741,74626.6369,72716.71866,75329.20374,113942.1493,140428.954,85680.18169,116630.8722,73043.42236,136398.5981,52185.35139,33476.19006,85658.70085,104693.2699,116087.8957,79622.08216,108064.0593,84108.61549,79776.74122,72653.27323,124158.4265,10346.92521,93799.73192,33345.39608
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,663.8409783,1941.569138,1660.575401,21463.48457,1138.216009,395.6340724,1294.440122,1760.154978,2791.107055,806.1835065,6470.587104,90.65133324,23916.65095,356.4328812,14919.31107,8419.911387,278.1908745,25307.40912,539.5459808,2419.927385,2768.188449,518.6045152,184.4470683,15511.78551,16999.29912,3031.015953,1375.043258,1568.503728,2059.300098,16673.91025,325.8429909,1447.07038,14071.16637,173.2223674,16360.03306,607.3270134,15768.95419,383.0261308,10416.90505,379.7890479,27828.4493,795.0875117,10793.98592,781.7744874,20986.03289,2355.768688,5318.053409,15675.49518,1486.121372,420.8381507,235.0111453,18238.86764,1468.086175,16683.55258,2054.809476,727.966751,1021.526128,558.6749622,411.3553145
AEROBACTINSYN-PWY,329.5723014,11.57894737,5.625,43.17995409,252.9155313,9.485884101,9.48131685,14.93617021,40.9478746,103.3213703,6.213645012,35.91836735,134.8121912,53.36987439,241.9391203,16.06076693,1.331482741,72.83453602,112.6898955,39.70922016,36.28500529,55.29780564,138.4905396,162.3410478,176.0244087,145.3489816,36.3889834,48.3632659,26.88,75.8520003,65.92692828,78.76062162,251.7668663,16.00589102,398.79876,94.52372583,251.0460299,82.33459568,23.91752577,91.65164754,391.1012721,24.89061489,361.0627319,47.12224592,93.68415734,3.621928166,92.44393144,250.9215752,36.70477272,56.15141956,73.55089126,310.7450642,48.11412622,183.1303472,18.49557522,37.79487179,187.4423001,49.94594595,30233.81484
ALL-CHORISMATE-PWY,2098.809361,1092.812712,1725.599795,8102.367238,1016.937469,683.2980966,1014.064088,1365.226226,2463.870331,770.3822481,3112.803899,427.9556386,7594.800395,32.18087796,6261.521515,5507.399104,2356.152502,11399.49497,192.0894082,3873.639929,912.4225567,222.2479567,632.7282037,3536.409439,8481.142664,1765.251282,456.0668312,515.858073,2267.854633,7855.42876,168.7217882,1047.453354,7742.216646,1010.754331,7232.937669,670.7222517,7605.35328,103.1747192,5629.791772,103.5301234,14468.40279,521.0983535,8929.172456,154.5091695,10771.76145,2012.838558,3727.020695,6536.75775,995.6304487,174.2026393,109.95898,9819.712195,732.1358413,6748.160609,1118.214281,169.5515926,102.5303227,77.70235493,2428.006317
ANAEROFRUCAT-PWY,9804.423674,49621.11156,33165.77417,89588.50102,59899.95716,3182.886656,31833.52352,52307.29925,50883.38929,45565.21363,35437.09809,1611.471472,81449.25568,63574.46993,68730.42552,53673.8914,20698.07149,120637.8142,72732.2631,66654.9323,71294.87177,63821.61185,12854.96314,115993.7152,74198.37729,63859.31553,73717.34437,53214.65779,45363.13141,62539.45645,65426.19596,77450.72571,69193.61834,13859.52439,65953.32533,81655.32145,62425.32941,43417.36972,61936.67357,80771.55156,117738.6904,69722.55233,92420.69129,57463.86136,109269.1634,41558.7344,27825.91354,71749.07573,80937.20059,78566.34495,56760.94342,90459.76013,64899.87851,66950.53917,56343.95113,80735.64532,7065.229001,53779.89603,11123.65487
ANAGLYCOLYSIS-PWY,13932.38393,66387.15075,46956.31943,97144.08105,88798.30068,4765.938884,43800.49957,70064.05713,69171.17937,64905.15886,40640.26993,1930.770308,84424.09397,79519.40724,76474.44536,65642.43611,26871.95055,131931.6616,97306.27587,90217.85703,90934.92504,86904.14321,21621.27501,133506.6997,87947.70733,84606.71425,98767.04015,73057.49252,63444.68119,75266.6281,83991.14731,111679.1435,81656.74481,31754.14537,78046.43331,113047.3864,70863.7234,61885.36372,71276.65742,102826.0861,133208.5507,92401.10199,109344.3649,76090.9592,129692.8735,57715.71709,33656.77271,76764.26821,111971.5767,102585.1428,73292.06276,102133.062,92350.3,74311.46163,77791.00023,113905.9986,9085.757908,85322.85482,15818.08298
ARG+POLYAMINE-SYN,5776.829956,16807.21098,12270.34769,41683.74822,19691.79214,1203.437377,12174.8596,19006.88891,21663.13517,19712.5923,19152.94851,601.3418311,39446.07969,18254.96587,32501.84227,30368.31341,8766.391047,54733.57268,22348.29599,25093.86109,24178.4867,22605.59679,4027.336616,53678.82635,34512.10792,21777.55793,23940.97577,19470.67675,18477.20718,32060.51563,18959.35905,29274.14593,30032.4306,5140.644595,33656.41819,27140.13069,30523.61765,14509.91588,34549.2944,22990.62982,58473.22819,20862.31361,50176.32728,17798.21598,53043.28562,16450.9773,12912.37031,34320.76925,26891.17933,22530.81493,17293.44637,41237.03548,20748.06955,34866.35664,19871.29884,24207.0074,3000.055264,19134.54073,10143.21919
ARGDEG-PWY,52.01345304,0,0,40.8740116,5.201410857,9.212796766,0,2.624777124,3.306996829,17.46972091,0,43.89979419,0,0,29.73079438,4.093482309,176.1798015,110.2637375,0,0.780263735,12.87178225,3.817690419,41.07307695,0,0,0,2.082524397,0,0,0,0,17.1956917,13.41033667,93.69421789,5.751458254,0,30.7409668,0,0,0,54.37827506,0,18.00393691,6.998358975,57.24857568,0,138.941326,21.06900604,0,8.36797011,1.09236995,1.159731368,21.934919,502.1060366,11.78039232,8.198878277,329.6974325,0,607.5774019
ARGORNPROST-PWY,2068.416643,498.2100828,594.0000503,4851.165179,931.5273308,1850.311704,289.7229251,524.1776368,759.6530162,5168.401074,210.6934666,489.1022931,1522.680259,402.3156602,2847.855476,528.0279343,1768.510518,7905.826328,832.8510835,593.3528721,698.1985492,558.6723905,568.4258852,3783.061354,1845.866718,1022.002369,853.0437331,983.0996579,582.0144843,2188.562664,523.844009,6564.633918,2286.288613,8129.605391,2921.443454,891.1966229,2337.458982,652.9912832,470.2461413,759.0749338,4825.868428,611.4131849,2288.608133,637.2098398,2603.67124,497.1691416,1742.157011,2026.291227,959.1455931,576.2886769,1697.50215,2715.383638,829.0687908,3772.075928,640.6404243,852.3756867,1733.888712,1989.338712,8642.771242
ARGSYN-PWY,11864.08963,70342.61265,47065.65151,84293.59853,81552.77699,3663.595859,45709.64625,74829.62625,71976.18203,58716.82657,43110.02067,1557.2542,77778.00078,75740.70296,70132.11158,67636.51912,21368.76889,113824.0519,87966.34997,82349.23804,96160.59411,79747.05288,17958.0616,129956.4331,78710.84957,73771.99982,109624.2004,76661.60493,70856.83021,65484.93728,77582.164,94671.43459,73797.48443,23153.16534,68961.9823,101798.6315,63213.82988,54097.13376,71684.02588,96585.1842,119331.408,94780.59565,115659.544,77411.08868,122685.9117,58150.83958,28936.54417,73833.30582,114547.6189,92413.94941,69796.88612,93610.36976,91878.73879,68464.18561,84677.92832,97804.69359,8845.521272,74446.30384,33903.36539
ARGSYNBSUB-PWY,12918.68895,78477.45817,51815.83969,107499.0801,89644.52913,3496.687791,51066.67354,83969.55726,78857.26197,68230.10558,51340.7661,1740.5464,100643.4001,90091.63092,83641.9398,77082.82705,25305.49283,147718.6516,106964.8916,92112.92818,109843.1579,91015.16685,20039.57467,163300.2549,88579.5211,91692.01623,122019.2572,84857.70837,76773.09552,72869.91165,93079.59217,111179.4814,84713.3145,22988.08966,78345.55706,117979.363,75307.35413,65544.62433,83966.81976,114421.9933,143199.8633,105964.5869,138503.2579,87066.39155,143882.8495,65007.40465,32317.75423,94155.21739,127102.5951,111008.5785,81270.89882,114122.5146,101478.4902,82071.76188,93460.63237,115422.3292,10238.0536,86234.45573,38064.02268
ARO-PWY,14263.44072,85359.0891,56296.91163,111450.8899,91713.65663,4047.686519,55329.1978,91318.41556,85645.849,78327.05103,52421.67472,1966.252105,102311.1267,102265.6025,88646.92338,80031.90508,29336.71247,153413.6721,123019.8089,105463.6513,119084.0232,101704.1582,23821.11219,158136.8856,95923.63504,105639.6549,131629.9799,93150.80169,83429.8757,80142.58475,105551.0274,128083.7167,91648.68276,26696.02467,85705.90566,131571.2675,80283.8991,75071.66396,85943.70416,128656.1101,151474.9154,114471.6335,142842.3675,94184.89463,151288.0988,69229.26743,35569.06312,96403.78524,137673.8688,126427.3953,90769.39536,119696.7294,109887.5413,86480.09155,101227.4857,133150.4512,10208.47318,97199.22938,36989.80096
ASPASN-PWY,3325.655208,4858.700721,3703.120146,23434.27185,7720.078452,2112.132521,3101.296548,5604.658052,5825.277778,21862.7978,10071.27392,689.4249156,18106.15169,9904.349501,18065.49098,15650.68879,5945.994858,33653.25824,20757.6754,10738.67488,7938.773225,7158.877035,3065.921015,51081.03923,18038.73403,19408.65227,6000.901993,5143.590362,4993.251713,15874.19038,8521.050395,20210.5552,17334.60394,15243.32422,16485.90448,11388.97533,15980.09962,13825.76732,21440.51012,12960.17889,34261.96464,7345.701253,28960.44285,6183.033715,31717.14916,5090.981372,8465.633726,19486.80527,6931.763808,11059.06269,13583.36589,25822.19989,6537.806642,18359.81317,5404.321024,11933.06015,3083.025144,21473.35892,33533.01942
AST-PWY,1409.303763,334.4284287,168.1539223,1388.262292,1018.137168,487.5457241,181.3085058,417.9786942,697.1851219,4249.498969,317.477439,112.1728794,836.9037529,1703.545711,1461.909292,513.3170914,665.6170314,2360.242799,4159.374509,3962.040808,1013.425105,1574.199435,360.5478968,3098.36567,1213.304966,3719.803815,433.1003929,459.4213805,288.7605095,1091.081312,1877.720297,4838.757833,1201.130581,1143.002118,1727.594599,1915.128277,1132.671047,2728.307915,740.6456172,2623.22864,2051.031049,669.3841659,2628.740925,614.5964929,1459.964344,180.8623791,775.0985982,1078.98851,526.4085774,2238.517474,1929.783808,1343.861556,610.1449469,2033.386359,316.2043091,3584.708281,2471.47352,4777.738494,27758.49563
BENZCOA-PWY,0,0,0,6.766542521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.784318231,0,1.964861926,0,0,0,6.062206001,0,0,0,0,0,0,0,0,9.614373492,0,0,0,0,0,7.775003172,0,0,0,0,0,0,0,0
BIOTIN-BIOSYNTHESIS-PWY,7040.933197,39678.38368,25072.54495,80374.38349,42079.67191,2120.488649,26262.7112,44337.6454,43212.84586,57316.698,33144.40935,1199.994793,75182.20144,66884.97626,63213.75598,50472.06517,18912.23901,108739.6912,89459.14315,67414.3995,62211.19925,58536.27701,3349.965448,93390.02207,67390.58207,78447.01767,59240.70989,44369.99566,37168.28789,57039.02405,69474.19936,87594.18186,61921.93444,15103.55119,60430.95428,77926.1574,56705.92878,54698.30388,57141.70848,80993.18291,109403.5004,56303.45614,85652.01299,48452.48116,98735.05856,32273.48442,23877.29489,66968.88969,64615.25526,84684.80558,56968.24012,80895.8369,50822.33859,62815.59609,45031.60788,86763.49896,8983.178878,67208.55427,45928.58445
BRANCHED-CHAIN-AA-SYN-PWY,18716.14217,113201.7524,76085.26261,147002.3014,130696.9674,5497.440706,74757.64973,122270.7765,117419.5186,96019.08479,69778.52026,2488.841858,135734.4238,128855.3357,119876.9256,108061.4886,38693.81942,202546.847,152298.166,137694.4603,157903.0917,131727.8674,26246.48966,199148.2921,131586.4781,131512.391,173138.2753,125018.3973,113142.5662,109150.8594,134271.4419,159728.3239,124889.9358,32820.3153,115461.761,169307.0009,107820.218,92944.22056,114822.2458,161151.6867,201827.7665,152120.4762,187143.2776,124668.0426,203914.5286,93971.12868,48541.8777,127275.2369,184192.7989,159712.6809,113123.8478,160953.0446,148510.1322,114543.5018,136172.2866,168072.92,13637.23624,124774.9085,24049.49612
CALVIN-PWY,12217.78513,83958.15221,56607.98111,117366.6771,90705.09401,4376.879315,54787.60616,89497.1828,85463.05219,71203.64031,53858.15334,1911.996614,108242.7582,92141.16022,94854.71899,81849.21211,30938.68819,162277.5347,106379.038,100275.8813,114759.7688,97323.70321,15553.12345,155940.9585,103879.0512,90474.70802,127345.5198,91644.87714,82751.67437,87450.32178,96155.7529,117894.44,99250.59351,30920.40982,92468.64181,123018.0162,86257.58504,65042.74645,87603.38666,117273.5023,160766.1002,110942.6492,144288.0452,90652.49152,159108.0793,68768.55437,38982.14909,100670.2531,134816.0065,112946.4356,83425.52432,127582.2463,108239.4326,91469.90876,99431.89865,122604.1057,10064.23914,90714.11114,39688.18296
CATECHOL-ORTHO-CLEAVAGE-PWY,630.8063087,1029.012923,851.6590172,5234.97861,2403.521334,357.138463,771.2970855,1228.602818,1503.69511,749.6455923,1320.236304,75.99049497,3845.791475,850.8143741,3401.951909,2351.290203,890.5808352,6193.808737,738.9283668,1505.613049,1600.348401,1273.764795,152.8336987,4206.76233,3469.746991,1851.833451,1538.994608,1351.02267,1313.380087,3485.529483,1048.26129,1198.084878,3208.066917,162.1600719,2843.047169,1527.669782,2817.235426,508.4423382,2412.147742,923.3035038,5005.325307,1346.974883,2654.899322,1197.837066,4722.191511,1331.552673,1485.069673,2573.21033,1830.390271,1213.690204,600.7398968,3621.424979,1729.562914,5076.656048,1543.538914,1108.57218,1972.329268,570.2956211,649.6262063
CENTBENZCOA-PWY,0,83.53665753,48.18731707,127.9164906,42.70933333,1.134545455,72.56339559,94.05371886,90.2437888,4.795492958,180.4907063,0.768,111.6908766,8.448,77.33887734,320.1337454,24.61538462,194.1001776,9.301398176,30.84249258,71.4893617,19.79972936,0.256,314.6022943,95.26637312,16.65560976,105.8696225,85.82329556,140.9134986,84.5827548,10.32585366,7.941789466,70.0755,1.024,95.75786499,29.15285291,134.0090772,5.12,333.8953381,13.42690058,235.629866,74.95461883,596.7059375,56.41169409,281.6589356,73.57844949,15.74094472,160.2835472,98.88842845,20.28277551,9.695884477,195.9138312,84.5121592,140.575601,140.8059935,11.008,1.846153846,6.656,0
CENTFERM-PWY,31.33706566,110.2050431,296.0454495,2076.01716,100.5371219,1116.491187,72.39921911,157.1670166,177.8329667,4750.476076,86.04665819,27.64183274,255.3019905,90.9649035,655.3133481,72.95400982,810.2962195,3015.843248,464.8566772,231.2150479,203.6739179,177.7748274,219.0170378,1421.277287,412.734159,406.464916,131.5200121,397.3183106,157.8862093,594.9594456,143.3506609,9109.128168,605.2991709,7722.17295,706.6446585,266.5579585,537.2756739,318.030199,72.85841141,264.2503734,1353.078044,145.3609666,400.2026922,158.781627,714.3198834,59.54213112,416.7841934,450.23214,179.6681177,233.7486298,1542.671673,691.0095568,194.6136007,828.7584513,172.0456278,495.5753515,20.48441736,1409.992582,10.33358194
CHLOROPHYLL-SYN,913.164422,1050.449056,1099.366132,6941.446073,869.2740751,4.656665757,715.6827035,1094.531077,1395.560195,192.7926175,1127.888798,112.5325923,4658.867507,153.6790022,5929.672852,1585.856511,256.5357827,12537.84591,274.5616346,429.5926741,1071.13236,938.6213798,1392.984608,7451.136904,4116.072986,479.6495203,1338.055236,1275.390746,1659.092741,3650.670505,209.7922878,364.5579403,4329.258507,162.4462,3898.38802,1637.665549,4273.890589,243.6048719,5104.244286,178.1937677,10367.9247,1080.162109,6059.352741,917.3535646,3744.14127,1537.470547,2715.532066,5150.09656,1489.093426,271.5978609,124.8013286,7458.782732,1648.684156,3689.481004,1584.257216,339.0659376,318.5790629,221.552571,14.71207102
COA-PWY,13432.49572,81615.62955,54840.80183,104632.4041,91078.51861,4009.772248,53265.42139,87587.15486,82832.88392,78123.26013,50497.88745,1882.106267,96096.38912,102212.9059,84776.65927,77206.99158,29452.37579,145192.2433,126467.1355,104443.4712,113634.6392,100231.8133,22889.15867,150297.6417,92359.72327,108599.4619,125319.3701,89764.01352,81067.4609,76049.08355,106576.3659,128726.9199,88811.59468,26094.75993,81734.05416,130793.0998,76514.36508,77516.00975,81964.16581,128418.8826,143917.5764,110306.4876,138681.7572,91220.01249,146275.2242,67046.38254,34291.93945,92229.84462,132985.7988,128174.4113,90068.22533,115258.7005,106918.4682,81713.7039,97094.79602,134549.4172,9458.19981,98744.8947,34018.27634
COBALSYN-PWY,5142.817135,17048.15207,12121.64968,38786.96152,31625.31087,2077.263081,11874.80664,19613.46926,21095.16351,27558.38915,13638.39778,652.3128912,36164.93577,26159.93233,28182.0165,23815.58527,6835.070545,47677.38854,35587.46578,30734.52389,28334.90224,25567.84355,1524.20976,38187.96281,31916.46647,32254.91155,27041.10346,19570.13074,16069.02996,32009.90071,27524.39614,37983.3895,27271.45333,11145.4502,29989.79931,34369.40693,26811.83325,22659.94408,26258.92006,31319.87198,50027.51595,26909.94978,31061.36913,22372.52102,42164.01064,16548.41203,12767.06315,25389.24324,30203.34258,33540.31091,24489.86403,32846.02771,25201.18796,29367.94416,20610.43598,35475.96799,6979.123881,33006.10885,3520.774733
CODH-PWY,29.87022051,10598.12179,6133.780652,1617.174259,19282.67814,457.0170445,6895.314207,10990.07719,8872.703112,6773.097227,74.72503515,144.5657052,225.3919288,12665.20428,466.1595878,234.5069425,485.0105426,3027.096598,10225.26298,10193.44526,15445.79498,11962.95781,35.37356805,342.0571731,444.6911847,6134.072366,19745.42077,11516.47363,7916.027989,546.8215012,10590.1313,10907.39523,300.7686352,7041.019684,525.7838833,14705.21591,371.3108212,5433.394076,85.78181179,14426.91547,1117.997608,18843.55604,622.0532395,13109.02297,514.0458682,6539.572468,335.3711895,338.7804889,17191.32083,14206.2548,10609.94474,423.3880869,15348.35109,815.3982289,12940.97235,13686.74946,7.983861451,7488.867602,799.2040824
COLANSYN-PWY,11405.14232,54910.71993,36557.89845,81082.19276,63173.44167,3261.707168,35883.61921,59562.81691,56625.76544,54231.33604,31973.55118,1155.653262,73064.72652,73259.92194,64096.14734,49074.14645,22486.18178,110587.2408,89449.35576,75339.45983,80121.14577,71357.15199,11576.39719,97127.9659,68434.99664,76500.18814,85816.68471,62504.12654,52572.63705,55547.19408,76388.99928,92242.40689,66021.88402,19965.95172,59481.10789,94811.86175,56653.40662,54358.96875,55944.07007,92068.50422,107384.973,78002.78936,87598.88935,65068.54936,101105.9603,45769.50691,25993.91478,66589.19214,93003.60216,92326.9706,63944.51021,84923.56666,74145.78592,59836.53814,64641.82938,96040.00568,5399.476028,69568.05476,11666.35699
COMPLETE-ARO-PWY,15095.35667,91032.65252,59980.07922,117930.2876,97810.74539,4303.583896,59009.248,97403.26749,91296.79049,83631.1068,55355.31217,2070.301361,108353.0054,109488.4684,93898.29274,84627.61164,31223.21732,162470.1099,131780.6114,112663.6472,127119.3862,108708.2287,25440.53046,166702.9347,101710.289,113059.7751,140435.6748,99384.17582,88826.91092,84930.83793,113027.3163,136877.9087,97008.76072,28238.40014,90802.20012,140670.1309,85046.58679,80391.74898,90890.42402,137710.8407,160505.6514,122280.0098,150876.1888,100568.2262,160034.9395,73761.78911,37698.29574,101943.2196,146965.7974,135369.0395,97082.10794,126686.7816,117248.6394,91452.74158,107857.7098,142399.6697,10739.80835,103842.8874,39199.02473
CRNFORCAT-PWY,3748.229202,23222.01034,15415.04404,13039.52738,17398.91754,197.8389585,14877.47725,24331.31877,22869.14174,11365.72092,11623.66951,402.069658,13795.56381,21957.46649,13079.48397,17855.92763,1586.46673,18693.16979,21033.27342,21787.48798,32211.29742,25011.13382,237.1241899,28328.62046,14374.63991,16281.4682,39205.33861,26305.12637,23261.71629,11430.27099,21491.58541,20670.45748,15443.09501,786.8243573,12419.49681,30580.37748,11373.02474,12138.82502,17081.0491,27450.38643,19967.66572,32524.25103,28288.17723,25545.08739,27605.19419,19946.18432,4678.441014,16496.59004,39662.03789,25098.00846,18693.64063,19978.39962,30157.0319,12852.89429,29566.47236,24566.36367,502.173672,15153.62233,1589.44631
DAPLYSINESYN-PWY,10890.2872,75317.3613,48951.75616,107011.4008,79257.89027,3279.974894,49287.69898,82103.95968,77620.40194,76478.22975,52364.39073,1894.436481,101346.4074,97323.83364,85961.32101,78991.2917,26930.5605,146127.0992,122706.7408,98985.70021,107883.1908,91001.2855,8921.273505,156834.6647,93508.46385,107358.5477,114814.1919,82644.97629,75371.23999,77768.41257,101780.1905,122113.9952,89186.62162,19312.23021,82687.03263,117852.0599,77996.1181,74412.51011,84576.91031,120312.1331,146110.769,99331.88896,140338.8183,83456.09889,148354.0522,61254.63106,33846.06243,94773.0595,120635.2971,120804.62,84404.15572,116908.8691,94395.06359,84059.13816,89286.2147,124250.0347,10455.41636,93674.45038,40825.82846
DENITRIFICATION-PWY,1136.141079,1845.534538,1257.694086,4281.891096,2292.688482,151.0528643,1273.372021,2377.155417,2547.049742,3312.981348,1583.368652,116.9176194,3111.481983,4479.673798,2480.707256,2803.113213,735.2597549,5570.600533,4929.731615,4596.576437,3826.959051,3803.68413,298.9862799,4077.174433,3775.987842,3638.812751,2861.997242,2329.851329,2027.878713,3772.904324,4489.673251,5494.653523,3206.145205,468.5266682,3526.645009,6147.250655,3099.180119,2599.392991,3092.59609,5578.786987,5578.814345,3591.364098,4450.728065,3535.320316,4932.111022,1631.196242,1389.039405,2719.699007,3404.642001,5507.79235,3974.851202,3918.751218,3386.907869,3301.442446,2152.974677,6019.268772,565.0408367,3861.110849,788.049391
DENOVOPURINE2-PWY,5391.263781,14999.53994,10295.19913,18686.15486,24929.45601,3294.867214,8871.96832,17135.15127,14313.22891,57707.37667,4179.341459,1567.786746,10962.80622,36310.16641,11907.20558,5405.216691,7458.255287,26802.59146,63769.90037,33252.23593,27130.24743,28201.73762,2754.211649,14267.82297,15210.02047,55207.17817,24601.76195,15739.87706,11575.43657,12462.85476,33365.75953,73388.95852,14556.55243,23378.12076,14473.82332,44763.68968,12361.98518,41203.72067,4699.126183,48436.55714,25031.15448,28550.96955,14373.31955,24270.53345,18078.13024,12166.37176,7931.257997,13235.45337,27322.62939,43094.63134,49856.05835,18998.59726,24874.83511,14798.1737,15072.83672,45763.265,3474.250325,61505.02351,37518.99851
DHGLUCONATE-PYR-CAT-PWY,414.5136716,4.687045951,3.333011658,361.4419059,9.320130148,356.4455978,1.666581553,3.333125947,37.7378545,2.272483226,23.04436247,100.0828698,155.0542964,0,193.3866221,21.54684953,176.9090879,417.8124396,0.999974012,108.6183433,113.6991178,3.999660543,79.79879628,438.579707,135.237639,4.705160739,0,1.299969751,0,238.719972,0,56.35696462,133.5322756,157.7034456,188.1339572,8.570247328,117.0003276,0,74.28940686,0,212.1351949,3.999761928,40.52128664,9.998174128,183.7224154,4.999452067,181.2199972,116.7042551,0,53.53421328,2.356981675,94.06607273,87.43672297,1619.210178,48.07041765,47.32360536,1594.760735,0,684.8051453
DTDPRHAMSYN-PWY,11481.71852,74659.07877,51425.38355,109126.5227,85826.50614,4836.914316,49392.52182,80094.66655,77669.44266,66194.26291,48248.79312,1514.678874,99394.95725,81210.41572,91464.73121,74963.76664,34516.20792,154415.6876,98439.4757,93257.18817,101432.8171,88750.48339,19214.13273,130412.2605,100595.7986,86804.52899,111404.3047,83756.56544,74698.30477,86007.32606,84354.03279,110856.3768,95126.50746,29153.36596,91273.1694,114742.2422,82738.77487,62026.4431,81288.91847,105742.2105,155929.2817,100800.479,130217.6164,82184.2591,149309.1277,62025.90695,38321.78215,92246.2561,121957.9058,102005.1234,75194.65152,118209.5411,100116.0911,86830.10799,89028.74386,115997.8303,8629.885474,89047.25673,6105.939063
ECASYN-PWY,174.2556615,27.79932492,27.24187195,33.02359188,11.92040504,0,18.92733476,28.62434592,65.54279658,9.307752531,0,0,10.3927153,0,48.77014061,0,153.6259648,25.38795203,0,67.94473652,31.20839391,0,35.40779193,2.497133574,10.79210577,84.74692112,9.847014635,17.06303041,25.51194303,22.95825925,2.488630382,23.46618568,19.88664967,18.33975263,4.990758415,7.469344271,17.39327387,0,0,0.824135168,31.24067723,7.431062993,0,4.960720682,45.28060223,57.31909205,35.0704858,2.498406422,7.431204233,0,0,0,12.29914461,75.76300774,19.07928642,0,0,2.492047734,177.7826082
ENTBACSYN-PWY,617.2919,120.7340874,212.9239705,1789.124572,109.8209102,393.597251,117.0073528,154.3209121,303.4290878,113.3047925,1010.18305,360.5918238,2159.978304,3.306525175,1120.266948,1990.832777,425.394742,3232.331887,19.8859303,489.3296545,98.40565683,23.0862274,90.14749416,796.723407,1730.03967,203.7187457,47.97528507,54.89728311,293.7272493,2015.785538,17.45080083,112.1298296,1533.905683,118.3694023,1305.325794,70.97356435,1704.907888,10.66476182,1591.806327,10.6655249,3261.813684,54.96443537,1459.959673,15.99631441,2701.48356,245.4972066,769.5132886,1323.650042,108.2716462,17.99671292,11.3495036,2015.575054,77.84023436,1309.531046,124.8454968,17.49459044,18.40993552,7.999183174,1327.298242
FAO-PWY,13650.92173,57384.92417,39225.39226,120631.1974,68415.18161,2610.899705,37232.87774,60018.98754,62611.74473,55647.33143,45880.17562,1297.206157,110885.9764,64528.05591,92080.48741,72185.32094,23199.32893,148223.1408,79469.15804,82888.33299,78983.15311,69050.89876,16712.23306,141208.1057,103283.7501,72635.39729,80997.16204,63235.89805,56551.23601,92520.60528,65873.93206,89369.43138,94077.85279,14550.50825,94656.30324,85893.46147,85712.25908,49938.87412,82169.07004,82330.79206,159660.6464,73969.44863,114438.5629,60761.08603,144489.7077,47441.92752,38244.28835,88382.71539,90904.61323,77693.01836,57691.07565,112311.3568,75416.70142,93614.75599,66506.84905,91568.0827,11794.66904,73649.01326,89844.64118
FASYN-ELONG-PWY,22826.64663,121852.2569,82114.77649,154036.2304,133769.3588,4698.00962,80888.5205,132897.2349,128768.9921,110579.4602,77045.39511,2640.875375,145227.4674,148730.3295,128871.3956,120907.7938,42038.72009,213315.8601,182792.4525,159704.3808,171935.8191,149186.5842,41874.81829,192945.1659,142443.5796,158221.6115,185675.4291,137603.5036,124078.7737,120773.5127,156847.4308,185603.185,134381.0298,33922.83171,127049.9035,196095.624,116252.2992,111673.9627,125458.6327,184982.6505,217446.1852,164003.8801,204020.5753,136440.8256,219794.1765,101767.053,52906.32852,135155.336,200556.6478,185914.261,127628.0709,170688.8343,161090.7183,123604.5398,148320.3325,197756.607,14244.81233,143186.5074,75143.5751
